start	end	size	type
0x001d14	0x001d1c	8	divergent
0x001d1c	0x001d1d	1	identical
0x001d1d	0x001d1f	2	divergent
0x001d1f	0x001d20	1	identical
0x001d20	0x001d21	1	divergent
0x001d21	0x001d22	1	identical
0x001d22	0x001d23	1	divergent
0x001d23	0x001d24	1	identical
0x001d24	0x001e19	245	divergent
0x001e19	0x001e1a	1	identical
0x001e1a	0x001e2d	19	divergent
0x001e2d	0x001e2e	1	identical
0x001e2e	0x001e55	39	divergent
0x001e55	0x001e56	1	identical
0x001e56	0x001e57	1	divergent
0x001e57	0x001e58	1	identical
0x001e58	0x001e73	27	divergent
0x001e73	0x001e74	1	identical
0x001e74	0x001e92	30	divergent
0x001e92	0x001e93	1	identical
0x001e93	0x001fb8	293	divergent
0x001fb8	0x001fb9	1	identical
0x001fb9	0x001fc7	14	divergent
0x001fc7	0x001fc8	1	identical
0x001fc8	0x001fe1	25	divergent
0x001fe1	0x001fe2	1	identical
0x001fe2	0x001fe3	1	divergent
0x001fe3	0x001fe4	1	identical
0x001fe4	0x001ff9	21	divergent
0x001ff9	0x001ffa	1	identical
0x001ffa	0x00209d	163	divergent
0x00209d	0x00209e	1	identical
0x00209e	0x0020c9	43	divergent
0x0020c9	0x0020ca	1	identical
0x0020ca	0x0020e7	29	divergent
0x0020e7	0x0020e8	1	identical
0x0020e8	0x002105	29	divergent
0x002105	0x002106	1	identical
0x002106	0x00210d	7	divergent
0x00210d	0x00210e	1	identical
0x00210e	0x002119	11	divergent
0x002119	0x00211a	1	identical
0x00211a	0x002123	9	divergent
0x002123	0x002124	1	identical
0x002124	0x002175	81	divergent
0x002175	0x002176	1	identical
0x002176	0x0021a8	50	divergent
0x0021a8	0x0021a9	1	identical
0x0021a9	0x0021c0	23	divergent
0x0021c0	0x0021c1	1	identical
0x0021c1	0x0021c8	7	divergent
0x0021c8	0x0021c9	1	identical
0x0021c9	0x0021ce	5	divergent
0x0021ce	0x0021cf	1	identical
0x0021cf	0x0021e0	17	divergent
0x0021e0	0x0021e1	1	identical
0x0021e1	0x0021fe	29	divergent
0x0021fe	0x0021ff	1	identical
0x0021ff	0x0022bc	189	divergent
0x0022bc	0x0022bd	1	identical
0x0022bd	0x0022c2	5	divergent
0x0022c2	0x0022c4	2	identical
0x0022c4	0x0022c5	1	divergent
0x0022c5	0x0022c6	1	identical
0x0022c6	0x0022db	21	divergent
0x0022db	0x0022dc	1	identical
0x0022dc	0x002345	105	divergent
0x002345	0x002346	1	identical
0x002346	0x002393	77	divergent
0x002393	0x002394	1	identical
0x002394	0x002395	1	divergent
0x002395	0x002396	1	identical
0x002396	0x0023a3	13	divergent
0x0023a3	0x0023a4	1	identical
0x0023a4	0x0023e3	63	divergent
0x0023e3	0x0023e4	1	identical
0x0023e4	0x0023ff	27	divergent
0x0023ff	0x002400	1	identical
0x002400	0x002409	9	divergent
0x002409	0x00240a	1	identical
0x00240a	0x0024a1	151	divergent
0x0024a1	0x0024a2	1	identical
