A: /home/workspace/git/openwatch/firmwares/H59MA_1.00.13_251230.bin  size=145552  sha256=7347dc5fe7c552d4f0fb93cffa2dd9cab6945b5628900705a07eb7a357781b65
  0x00270E..0x00270F  identical  size=1
  0x00270F..0x002724  divergent  size=21
  0x002724..0x002725  identical  size=1
  0x002725..0x002727  divergent  size=2
  0x002727..0x002728  identical  size=1
  0x002728..0x002784  divergent  size=92
  0x002784..0x002785  identical  size=1
  0x002785..0x0027B1  divergent  size=44
  0x0027B1..0x0027B2  identical  size=1
  0x0027B2..0x0027F6  divergent  size=68
  0x0027F6..0x0027F7  identical  size=1
  0x0027F7..0x002807  divergent  size=16
  0x002807..0x002808  identical  size=1
  0x002808..0x002864  divergent  size=92
  0x002864..0x002865  identical  size=1
  0x002865..0x00287A  divergent  size=21
  0x00287A..0x00287B  identical  size=1
  0x00287B..0x0028E4  divergent  size=105
  0x0028E4..0x0028E7  identical  size=3
  0x0028E7..0x00291C  divergent  size=53
  0x00291C..0x00291D  identical  size=1
  0x00291D..0x00292B  divergent  size=14
  0x00292B..0x00292C  identical  size=1
  0x00292C..0x00294C  divergent  size=32
  0x00294C..0x00294D  identical  size=1
  0x00294D..0x0029D6  divergent  size=137
  0x0029D6..0x0029D7  identical  size=1
  0x0029D7..0x0029F8  divergent  size=33
  0x0029F8..0x0029F9  identical  size=1
  0x0029F9..0x002AB1  divergent  size=184
  0x002AB1..0x002AB2  identical  size=1
  0x002AB2..0x002AB3  divergent  size=1
  0x002AB3..0x002AB4  identical  size=1
  0x002AB4..0x002AE8  divergent  size=52
  0x002AE8..0x002AEA  identical  size=2
  0x002AEA..0x002AEF  divergent  size=5
  0x002AEF..0x002AF0  identical  size=1
  0x002AF0..0x002B17  divergent  size=39
  0x002B17..0x002B19  identical  size=2
  0x002B19..0x002B42  divergent  size=41
  0x002B42..0x002B43  identical  size=1
  0x002B43..0x002B46  divergent  size=3
  0x002B46..0x002B47  identical  size=1
  0x002B47..0x002B4C  divergent  size=5
  0x002B4C..0x002B4D  identical  size=1
  0x002B4D..0x002B93  divergent  size=70
  0x002B93..0x002B94  identical  size=1
  0x002B94..0x002BAF  divergent  size=27
  0x002BAF..0x002BB0  identical  size=1
  0x002BB0..0x002BB8  divergent  size=8
